Generation,Filled_Cells,Coverage_%,Best_Fitness
1,70,70.0,-0.0556
2,78,78.0,-0.0605
3,81,81.0,-0.0605
4,83,83.0,-0.065
5,86,86.0,-0.065
6,87,87.0,-0.065
7,88,88.0,-0.065
8,88,88.0,-0.065
9,88,88.0,-0.065
10,88,88.0,-0.0677
11,89,89.0,-0.0677
12,91,91.0,-0.0677
13,92,92.0,-0.0684
14,93,93.0,-0.0684
15,93,93.0,-0.0709
16,93,93.0,-0.0709
17,94,94.0,-0.0709
18,95,95.0,-0.0709
19,96,96.0,-0.0709
20,97,97.0,-0.0709
21,97,97.0,-0.0709
22,97,97.0,-0.0709
23,98,98.0,-0.0709
24,99,99.0,-0.0709
25,99,99.0,-0.0709
26,99,99.0,-0.0709
27,99,99.0,-0.0709
28,99,99.0,-0.0709
29,99,99.0,-0.0723
30,99,99.0,-0.0723
31,99,99.0,-0.0723
32,99,99.0,-0.0723
33,99,99.0,-0.0723
34,99,99.0,-0.0723
35,99,99.0,-0.0765
36,99,99.0,-0.0765
37,99,99.0,-0.0765
38,99,99.0,-0.0765
39,99,99.0,-0.0765
40,99,99.0,-0.0765
41,99,99.0,-0.0765
42,99,99.0,-0.0765
43,99,99.0,-0.0765
44,99,99.0,-0.0765
45,99,99.0,-0.0765
46,100,100.0,-0.0765
47,100,100.0,-0.0765
48,100,100.0,-0.0765
49,100,100.0,-0.0807
50,100,100.0,-0.0807
51,100,100.0,-0.0807
52,100,100.0,-0.0807
53,100,100.0,-0.0807
54,100,100.0,-0.0807
55,100,100.0,-0.0807
56,100,100.0,-0.0807
57,100,100.0,-0.0807
58,100,100.0,-0.0807
59,100,100.0,-0.0807
60,100,100.0,-0.0807
61,100,100.0,-0.0807
62,100,100.0,-0.0807
63,100,100.0,-0.0807
64,100,100.0,-0.0807
65,100,100.0,-0.0807
66,100,100.0,-0.0807
67,100,100.0,-0.0807
68,100,100.0,-0.0807
69,100,100.0,-0.0807
70,100,100.0,-0.0807
71,100,100.0,-0.0807
72,100,100.0,-0.0807
73,100,100.0,-0.0807
74,100,100.0,-0.0807
75,100,100.0,-0.0807
76,100,100.0,-0.0807
77,100,100.0,-0.0807
78,100,100.0,-0.0807
79,100,100.0,-0.0807
80,100,100.0,-0.0807
81,100,100.0,-0.0807
82,100,100.0,-0.0807
83,100,100.0,-0.0807
84,100,100.0,-0.0807
85,100,100.0,-0.0807
86,100,100.0,-0.0807
87,100,100.0,-0.0807
88,100,100.0,-0.0807
89,100,100.0,-0.0807
90,100,100.0,-0.0807
91,100,100.0,-0.0807
92,100,100.0,-0.0807
93,100,100.0,-0.0807
94,100,100.0,-0.0807
95,100,100.0,-0.0807
96,100,100.0,-0.0807
97,100,100.0,-0.0807
98,100,100.0,-0.0807
99,100,100.0,-0.0807
